s_sat,rdamm1_ts1,su_ts1,supeca_ts1,rdamm_ts2,su_ts2,supeca_ts2
0.42,0.83,0.938,0.831,0.808,0.806,0.808
0.43,0.838,0.946,0.839,0.816,0.817,0.816
0.44,0.846,0.954,0.847,0.824,0.827,0.824
0.45,0.853,0.961,0.854,0.832,0.837,0.832
0.46,0.861,0.967,0.861,0.839,0.846,0.839
0.47,0.868,0.973,0.869,0.847,0.855,0.847
0.48,0.875,0.978,0.876,0.854,0.864,0.854
0.49,0.882,0.982,0.882,0.861,0.872,0.861
0.51,0.889,0.986,0.889,0.868,0.88,0.868
0.52,0.895,0.99,0.896,0.875,0.888,0.875
0.53,0.902,0.993,0.902,0.882,0.895,0.882
0.54,0.908,0.995,0.909,0.889,0.902,0.889
0.55,0.914,0.997,0.915,0.895,0.91,0.895
0.56,0.921,0.999,0.921,0.902,0.916,0.902
0.57,0.927,1,0.927,0.908,0.923,0.908
0.58,0.932,1,0.933,0.915,0.93,0.915
0.59,0.938,1,0.938,0.921,0.936,0.921
0.6,0.944,0.998,0.944,0.927,0.943,0.927
0.61,0.949,0.997,0.949,0.933,0.949,0.933
0.62,0.954,0.994,0.955,0.94,0.955,0.94
0.63,0.959,0.99,0.96,0.946,0.961,0.946
0.64,0.964,0.986,0.964,0.952,0.967,0.952
0.65,0.969,0.98,0.969,0.958,0.973,0.958
0.66,0.974,0.974,0.974,0.963,0.978,0.963
0.67,0.978,0.966,0.978,0.969,0.984,0.969
0.68,0.982,0.957,0.982,0.975,0.989,0.975
0.69,0.985,0.946,0.986,0.981,0.993,0.981
0.7,0.989,0.934,0.989,0.986,0.997,0.986
0.71,0.992,0.92,0.992,0.991,1,0.991
0.72,0.995,0.905,0.995,0.996,1,0.996
0.73,0.997,0.887,0.997,1,0.994,1
0.74,0.998,0.868,0.998,0.992,0.971,0.992
0.75,1,0.846,1,0.921,0.916,0.921
0.76,1,0.822,1,0.836,0.841,0.835
0.77,1,0.796,1,0.753,0.763,0.753
0.78,0.998,0.767,0.998,0.676,0.687,0.676
0.79,0.996,0.735,0.996,0.603,0.614,0.603
0.8,0.992,0.7,0.992,0.535,0.546,0.535
0.81,0.987,0.663,0.987,0.472,0.482,0.472
0.82,0.979,0.623,0.979,0.413,0.422,0.413
0.83,0.97,0.58,0.97,0.359,0.367,0.359
0.84,0.957,0.535,0.957,0.31,0.317,0.31
0.85,0.941,0.488,0.941,0.264,0.27,0.264
0.86,0.921,0.439,0.921,0.223,0.228,0.223
0.87,0.895,0.389,0.895,0.186,0.19,0.186
0.88,0.862,0.339,0.862,0.153,0.157,0.153
0.89,0.821,0.289,0.821,0.124,0.126,0.124
0.9,0.77,0.24,0.77,0.098,0.1,0.098
0.91,0.708,0.194,0.708,0.076,0.077,0.076
0.92,0.631,0.152,0.631,0.057,0.058,0.057
0.93,0.541,0.113,0.541,0.041,0.042,0.041
0.94,0.438,0.08,0.438,0.028,0.029,0.028
0.95,0.326,0.053,0.326,0.018,0.018,0.018
0.96,0.216,0.031,0.216,0.01,0.011,0.01
0.97,0.119,0.016,0.119,0.005,0.005,0.005
0.98,0.049,0.006,0.049,0.002,0.002,0.002
0.99,0.011,0.001,0.011,0,0,0
1,0.003,0,0.003,0,0,0
